ID	Label	Type	Parent Class	Object property	Object property	Parent Class	Object property	Object property	Object property	Object property	Object property	Object property	Object property	Object property	Object property	Object property
ID	A rdfs:label	TYPE	SC %	I part_of  	I %	SC %	I composed primarily of	I has_part  	I has_part  	I has_part  	I has_part  	I has_part  	I has_part  	I has_part  	I has_part  	I has_part  
NCIT:C40098	taxon	class														
NCBITaxon:7524	Hemiptera	class	NCIT:C40098													
NCBITaxon:27482	Aphididae	class	NCBITaxon:7524													
NCBITaxon:7041	Coleoptera	class	NCIT:C40098													
NCBITaxon:41073	Carabidae	class	NCBITaxon:7041													
NCBITaxon:30264	Zygentoma	class	NCIT:C40098													
NCBITaxon:27434	Dermaptera	class	NCIT:C40098													
NCBITaxon:1930602	Psocodea	class	NCIT:C40098													
NCBITaxon:29994	Archaeognatha	class	NCIT:C40098													
NCBITaxon:30073	Ephemeroptera	class	NCIT:C40098													
EX:1230	Aphididae_organism	Aphididae						epiproct_Aphididae	insect abdomen_Aphididae	preabdomen_Aphididae	postabdomen_Aphididae	cornicle_Aphididae				
EX:1231	Carabidae_organism	Carabidae						epiproct_Carabidae	insect abdomen_Carabidae		postabdomen_Carabidae	cercus_Carabidae				
EX:1232	Zygentoma_organism	Zygentoma						epiproct_Zygentoma	insect abdomen_Zygentoma	appendage_Zygentoma	postabdomen_Zygentoma	cercus_Zygentoma	cercomere_Zygentoma			
EX:1233	Dermaptera_organism	Dermaptera						epiproct_Dermaptera	insect abdomen_Dermaptera	appendage_Dermaptera	postabdomen_Dermaptera	cercus_Dermaptera	cercomere_Dermaptera			
EX:1234	Psocodea_organism	Psocodea						epiproct_Psocodea	insect abdomen_Psocodea		postabdomen_Psocodea	setal patch_Psocodea				
EX:1235	Archaeognatha_organism	Archaeognatha						epiproct_Archaeognatha	insect abdomen_Archaeognatha	appendage_Archaeognatha	postabdomen_Archaeognatha	cercus_Archaeognatha	cercomere_Archaeognatha			
EX:1236	Ephemeroptera_organism	Ephemeroptera						epiproct_Ephemeroptera	insect abdomen_Ephemeroptera	appendage_Ephemeroptera	postabdomen_Ephemeroptera	cercus_Ephemeroptera	cercomere_Ephemeroptera	abdominal tergite_Ephemeroptera	tergalius_Ephemeroptera	heart_Ephemeroptera
UBERON:0034925	anatomical collection	class														
UBERON:0001134	skeletal muscle tissue	class														
BSPO:0000070	anatomical region	class														
BSPO:0000079	dorsal region	class	BSPO:0000070													
BSPO:0000082	lateral region	class	BSPO:0000070													
AISM:0000008	cuticular protrusion	class	AISM:0000174													
AISM:0000029	appendage	class	AISM:0000008			('continuous with' some 'skeletal muscle tissue')										
AISM:0000109	insect abdomen	class														
AISM:0000174	region of cuticle	class														
AISM:0000003	sclerite	class	AISM:0000174													
AISM:0004057	abdominal tergite	class	AISM:0000003			('part of' some 'dorsal region') and ('part of' some 'insect abdomen')										
AISM:0000073	mere	class	AISM:0000003													
AISM:0004199	cercomere	class	AISM:0000073			('part of' some cercus)										
AISM:0004060	epiproct	class	AISM:0000174													
AISM:0004056	postabdomen	class	AISM:0000109													
AISM:0004055	preabdomen	class	AISM:0000109													
AISM:0004165	cercus	class	AISM:0000008			(('has characteristic' some 'bilaterally paired') and ('part of' some postabdomen) and ('adjacent to' some epiproct))										
