?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0003077>	"ZFA:0000255"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"Wikipedia:Paraxial_mesoderm"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"NCIT:C34244"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"SCTID:361475002"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"VHOG:0000114"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"TAO:0000255"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"AAO:0010568"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"XAO:0000259"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"FMA:293145"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"EMAPA:16183"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"EFO:0003515"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"UMLS:C1284009"
<http://purl.obolibrary.org/obo/UBERON_0003077>	"EMAPA:16751"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"MA:0001562"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"SCTID:691000"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"FMA:14934"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"EMAPA:37564"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"Wikipedia:Small_intestinal_submucosa"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"BTO:0002112"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"NCIT:C33572"
<http://purl.obolibrary.org/obo/UBERON_0001205>	"UMLS:C0227268"
<http://purl.obolibrary.org/obo/CHEBI_36916>	"KEGG:C01373"
<http://purl.obolibrary.org/obo/GO_0030317>	"Wikipedia:Sperm_motility"
<http://purl.obolibrary.org/obo/UBERON_0036285>	"FMA:9556"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"UMLS:C0017068"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"FMA:5889"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"EMAPA:18221"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"AEO:0001001"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"EMAPA:17157"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"CALOHA:TS-2340"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"MESH:D005725"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"NCIT:C12720"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"MA:0000220"
<http://purl.obolibrary.org/obo/UBERON_0001805>	"Wikipedia:Autonomic_ganglion"
<http://purl.obolibrary.org/obo/CHEBI_28976>	"PDBeChem:CO3"
<http://purl.obolibrary.org/obo/CHEBI_28976>	"Gmelin:25554"
<http://purl.obolibrary.org/obo/CHEBI_28976>	"CAS:463-79-6"
<http://purl.obolibrary.org/obo/CHEBI_28976>	"KEGG:C01353"
<http://purl.obolibrary.org/obo/NCBITaxon_40674>	"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"FMA:45615"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"BILA:0000083"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"VHOG:0000309"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"BTO:0000545"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"EMAPA:16247"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"ZFA:0000112"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"NCIT:C34082"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"FBbt:00003125"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"UMLS:C0017189"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"AAO:0010023"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"BTO:0000511"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"TAO:0000112"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"EHDAA:518"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"galen:AlimentaryTract"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"MESH:D041981"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"WBbt:0005743"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"EHDAA2:0000726"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"TGMA:0001819"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"MA:0000917"
<http://purl.obolibrary.org/obo/GO_0007268>	"Wikipedia:Neurotransmission"
<http://purl.obolibrary.org/obo/CL_0000147>	"VHOG:0001678"
<http://purl.obolibrary.org/obo/CHEBI_51143>	"KEGG:C06061"
<http://purl.obolibrary.org/obo/UBERON_0011298>	"BTO:0002116"
<http://purl.obolibrary.org/obo/UBERON_0011298>	"SCTID:245489008"
<http://purl.obolibrary.org/obo/UBERON_0005322>	"AAO:0010387"
<http://purl.obolibrary.org/obo/UBERON_0005322>	"XAO:0000292"
<http://purl.obolibrary.org/obo/UBERON_0005322>	"ZFA:0005592"
<http://purl.obolibrary.org/obo/UBERON_0002119>	"EMAPA:37366"
<http://purl.obolibrary.org/obo/UBERON_0002119>	"UMLS:C0227874"
<http://purl.obolibrary.org/obo/UBERON_0002119>	"NCIT:C32969"
<http://purl.obolibrary.org/obo/UBERON_0002119>	"FMA:7214"
<http://purl.obolibrary.org/obo/UBERON_0002119>	"SCTID:280124008"
<http://purl.obolibrary.org/obo/UBERON_0002119>	"MA:0001704"
